"name"                         ,"ra"          ,"dec"         ,"alt"                 ,"az"
"AR And"                       ,"26.26250000" ,"37.94250000" ,"21.373529491887503"  ,"56.20487333234108"
"DX And"                       ,"352.44166667","43.75111111" ,"58.19351256014237"   ,"278.3393292742272"
"EG And"                       ,"11.15416667" ,"40.67916667" ,"11.702744174061248"  ,"320.9272750803268"
"FN And"                       ,"17.98750000" ,"35.29000000" ,"68.2553430895358"    ,"239.5178355550937"
"FO And"                       ,"18.88333333" ,"37.62638889" ,"76.68121473541699"   ,"214.9355250123634"
"LS And"                       ,"8.04166667"  ,"41.96972222" ,"1.2274718429601983"  ,"354.2172081244624"
"PQ And"                       ,"37.37083333" ,"40.04416667" ,"27.750366075648916"  ,"300.1903457727773"
"RX And"                       ,"16.14583333" ,"41.29916667" ,"54.155572808752915"  ,"277.20979857624116"
"Z And"                        ,"353.41250000","48.81805556" ,"69.34850187984185"   ,"281.5703583385385"
"DH Aql"                       ,"291.54166667","-9.74222222" ,"-26.988168241439034" ,"72.75883265656691"
"FO Aql"                       ,"289.15833333","0.12694444"  ,"3.6770853552192424"  ,"94.04528537364882"
"KX Aql"                       ,"293.47083333","14.29638889" ,"-21.090869886493536" ,"32.10232646994355"
"UU Aql"                       ,"299.32500000","-8.67750000" ,"-27.82295509687759"  ,"290.308856420472"
"V0603 Aql"                    ,"282.22500000","0.58388889"  ,"38.77235822346712"   ,"205.2999166368619"
"V0725 Aql"                    ,"299.18750000","10.82555556" ,"-13.184705476348539" ,"304.3001129465399"
"V1413 Aql"                    ,"285.94166667","16.43805556" ,"46.11872028958991"   ,"125.02472256880195"
"VY Aqr"                       ,"318.03750000","-7.17333333" ,"-44.15385878984089"  ,"31.614246037553976"
"VZ Aqr"                       ,"322.60000000","-1.01194444" ,"-27.882538764367546" ,"305.32296737936105"
"SV Ari"                       ,"51.26250000" ,"19.83111111" ,"-0.8863069673495011" ,"57.65884980169542"
"TT Ari"                       ,"31.72083333" ,"15.29472222" ,"-25.651083331701827" ,"356.8171995589653"
"SS Aur"                       ,"93.34166667" ,"47.74027778" ,"71.92727033579195"   ,"83.61630582029866"
"TT Boo"                       ,"224.43333333","40.72777778" ,"0.5337426006433028"  ,"349.68866462943583"
"UZ Boo"                       ,"221.00416667","22.01500000" ,"-11.411027846082698" ,"35.40547131645559"
"AF Cam"                       ,"53.06250000" ,"58.78944444" ,"21.939143880779074"  ,"19.59836850643228"
"Z Cam"                        ,"126.30416667","73.11083333" ,"32.763515755068106"  ,"6.219649309931799"
"AM Cas"                       ,"36.59583333" ,"71.30861111" ,"41.63593526891548"   ,"335.40298647337386"
"GX Cas"                       ,"12.25416667" ,"56.87861111" ,"31.012064628360182"  ,"322.93514775860825"
"HT Cas"                       ,"17.55000000" ,"60.07666667" ,"69.83336871092847"   ,"314.40153308354945"
"KU Cas"                       ,"22.75833333" ,"57.90333333" ,"60.47883488810708"   ,"53.90987596765015"
"V0630 Cas"                    ,"357.21250000","51.46083333" ,"73.68269174947427"   ,"71.70137054246646"
"WW Cet"                       ,"2.85000000"  ,"-10.52138889","-20.946199854606515" ,"81.81794378913875"
"AL Com"                       ,"188.10416667","14.34527778" ,"54.61105291729649"   ,"165.30070462329917"
"T CrB"                        ,"239.87500000","25.92000000" ,"35.2108458559767"    ,"89.79048978377104"
"TX CVn"                       ,"191.17500000","36.76388889" ,"49.00485309637653"   ,"86.1509082742048"
"BF Cyg"                       ,"290.97083333","29.67472222" ,"9.360850091604643"   ,"54.88846612780991"
"CH Cyg"                       ,"291.13750000","50.24138889" ,"24.080502424561892"  ,"39.705023345578866"
"EM Cyg"                       ,"294.66666667","30.50777778" ,"-9.669925325199097"  ,"11.197814074475096"
"EY Cyg"                       ,"298.65000000","32.36527778" ,"1.4589062807891355"  ,"321.89882020588635"
"Q Cyg"                        ,"325.42916667","42.84138889" ,"30.094101807272395"  ,"302.08911965029904"
"SS Cyg"                       ,"325.67500000","43.58583333" ,"32.635242393181734"  ,"300.74448340427176"
"V0404 Cyg"                    ,"306.01250000","33.86722222" ,"67.41443239146494"   ,"236.36680371199006"
"V0476 Cyg"                    ,"299.60000000","53.61833333" ,"24.828465711665075"  ,"325.07392813575393"
"V0503 Cyg"                    ,"306.82083333","43.68944444" ,"81.01346061396434"   ,"237.74166432531712"
"V0516 Cyg"                    ,"311.78750000","41.92388889" ,"45.925226302192385"  ,"73.98078921137197"
"V0542 Cyg"                    ,"297.29166667","58.53305556" ,"19.714631287893255"  ,"345.65621612908654"
"V0630 Cyg"                    ,"323.74583333","40.67166667" ,"15.584939999908354"  ,"315.2712673880081"
"V0632 Cyg"                    ,"324.01666667","40.43861111" ,"17.32161919157486"   ,"312.5997606058867"
"V0751 Cyg"                    ,"313.05000000","44.32388889" ,"35.82008065539929"   ,"61.10816284982282"
"V0795 Cyg"                    ,"293.64166667","31.53638889" ,"-5.623398191977465"  ,"23.883647428720934"
"V0811 Cyg"                    ,"297.09583333","36.43972222" ,"-2.026846578494175"  ,"341.1999779299454"
"V1016 Cyg"                    ,"299.27083333","39.82666667" ,"11.72754822325688"   ,"319.30933354478645"
"V1028 Cyg"                    ,"300.23333333","56.94333333" ,"30.93350556361539"   ,"323.12723026548935"
"V1251 Cyg"                    ,"325.22500000","48.66194444" ,"32.20391795315663"   ,"308.90195551103784"
"V1454 Cyg"                    ,"298.40833333","35.36250000" ,"2.7127244599973963"  ,"325.9594243390601"
"V1500 Cyg"                    ,"317.90000000","48.15055556" ,"9.402942133985901"   ,"16.18278450053482"
"V1668 Cyg"                    ,"325.64583333","44.03166667" ,"32.66910940604451"   ,"301.39208190425563"
"V1819 Cyg"                    ,"298.65416667","35.70444444" ,"4.413019985741362"   ,"323.4585803433315"
"HR Del"                       ,"310.58333333","19.16083333" ,"42.756722904943175"  ,"112.47429079001859"
"AB Dra"                       ,"297.27500000","77.73972222" ,"37.7768487870733"    ,"353.16665417285657"
"AG Dra"                       ,"240.42083333","66.80277778" ,"50.103210027148954"  ,"36.068148216350345"
"DO Dra"                       ,"175.90833333","71.68888889" ,"30.758897745867422"  ,"357.8874241558653"
