MAIN_ID
V* AR And
V* DX And
V* EG And
V* FN And
V* FO And
NOVA And 1971
V* PQ And
V* RX And
V* RX And
V* Z And
V* DH Aql
V* FO Aql
V* KX Aql
V* UU Aql
V* V603 Aql
V* V725 Aql
EM* AS  338
V* VY Aqr
V* VZ Aqr
NOVA Ari 1905
V* TT Ari
V* SS Aur
V* TT Boo
V* UZ Boo
V* AF Cam
V* Z Cam
V* AM Cas
V* GX Cas
V* HT Cas
V* KU Cas
V* V630 Cas
V* WW Cet
V* AL Com
V* T CrB
V* TX CVn
V* BF Cyg
V* CH Cyg
V* EM Cyg
V* EY Cyg
* Q Cyg
V* SS Cyg
V* V404 Cyg
V* V476 Cyg
V* V503 Cyg
V* V516 Cyg
V* V542 Cyg
V* V630 Cyg
V* V632 Cyg
EM* LkHA  170
V* V795 Cyg
V* V811 Cyg
EM* AS  373
V* V1028 Cyg
V* V1251 Cyg
V* V1454 Cyg
V* V1500 Cyg
NOVA Cyg 1978
NOVA Cyg 1986
V* HR Del
V* AB Dra
V* AG Dra
V* DO Dra
V* AH Her
V* AM Her
V* CH Her
V* DQ Her
EM* MWC  603
V* V446 Her
V* V533 Her
EM* AS  297
V* CP Lac
V* AY Lyr
V* CY Lyr
V* DM Lyr
V* LL Lyr
V* MV Lyr
V* V344 Lyr
HD 162214
V* V426 Oph
V* AG Peg
V* EF Peg
V* IP Peg
V* RU Peg
V* AX Per
V* FO Per
V* GK Per
V* KT Per
V* TZ Per
V* UV Per
V* UW Per
V* TY Psc
NOVA Sco 1863
V* LX Ser
NOVA Ser 1983
V* UZ Ser
V* AW Sge
NOVA Sge 1975
V* RZ Sge
V* WZ Sge
V* FN Sgr
V* BC UMa
V* BZ UMa
V* CH UMa
V* CI UMa
V* CY UMa
V* DI UMa
V* SU UMa
V* SW UMa
V* SS UMi
V* HV Vir
V* LV Vul
V* NQ Vul
V* PU Vul
V* PW Vul
NOVA Vul 1984 b
V* VW Vul
V* BM And
V* FG Aql
V* FH Aql
V* V536 Aql
V* RW Aur
V* UY Aur
V* DG Aur
V* GM Aur
V* GZ Aur
V* HO Aur
V* PS Aur
V* V347 Aur
V* V372 Aur
V* VX Cas
V* MQ Cas
V* NX Cas
V* V519 Cas
